LOCATION_CODE,MAT_CODE,PRODUCT_SUBTYPE,TRADE_PRODUCT_BRAND,TRADE_PRODUCT_MODEL,COLOR,PRODUCT_NAME,REQ_DATE,LUNCH_DATE,START_DATE,END_DATE,sum_lambda,SALE_AMT
1106,NEW0SSA107L-RD01,HANDSET,SAMSUNG,A107L,RED,A107L GALAXY A10S SLG,2019-12-26,2019-09-17,2019-12-27,2020-01-05,2.5524,5
1106,NEW0SSA107L-RD01,HANDSET,SAMSUNG,A107L,RED,A107L GALAXY A10S SLG,2019-12-30,2019-09-17,2019-12-31,2020-01-06,1.7701,4
1106,NEW0SSA107L-RD01,HANDSET,SAMSUNG,A107L,RED,A107L GALAXY A10S SLG,2020-01-02,2019-09-17,2020-01-03,2020-01-12,2.5044,4
1106,NEW0SSA107L-RD01,HANDSET,SAMSUNG,A107L,RED,A107L GALAXY A10S SLG,2020-01-06,2019-09-17,2020-01-07,2020-01-13,1.7292,1
1106,NEW0SSA107L-RD01,HANDSET,SAMSUNG,A107L,RED,A107L GALAXY A10S SLG,2020-01-09,2019-09-17,2020-01-10,2020-01-19,2.4361,1
1106,NEW0SSA107L-RD01,HANDSET,SAMSUNG,A107L,RED,A107L GALAXY A10S SLG,2020-01-13,2019-09-17,2020-01-14,2020-01-20,1.6894,0
1106,NEW0SSA107L-RD01,HANDSET,SAMSUNG,A107L,RED,A107L GALAXY A10S SLG,2020-01-16,2019-09-17,2020-01-17,2020-01-26,2.0976,2
1106,NEW0SSA107L-RD01,HANDSET,SAMSUNG,A107L,RED,A107L GALAXY A10S SLG,2020-01-20,2019-09-17,2020-01-21,2020-01-27,1.4473,2
1106,NEW0SSA207D-BK01,HANDSET,SAMSUNG,A207D3/32,BLACK,A207D GALAXY A20S 3/32GB,2019-12-02,2019-09-20,2019-12-03,2019-12-09,0.703,2
1106,NEW0SSA207D-BK01,HANDSET,SAMSUNG,A207D3/32,BLACK,A207D GALAXY A20S 3/32GB,2019-12-05,2019-09-20,2019-12-06,2019-12-15,0.9417,2
1106,NEW0SSA207D-BK01,HANDSET,SAMSUNG,A207D3/32,BLACK,A207D GALAXY A20S 3/32GB,2019-12-09,2019-09-20,2019-12-10,2019-12-16,0.7397,0
1106,NEW0SSA207D-BK01,HANDSET,SAMSUNG,A207D3/32,BLACK,A207D GALAXY A20S 3/32GB,2019-12-12,2019-09-20,2019-12-13,2019-12-22,0.9909,2
1106,NEW0SSA207D-BK01,HANDSET,SAMSUNG,A207D3/32,BLACK,A207D GALAXY A20S 3/32GB,2019-12-16,2019-09-20,2019-12-17,2019-12-23,0.3181,2
1106,NEW0SSA207D-BK01,HANDSET,SAMSUNG,A207D3/32,BLACK,A207D GALAXY A20S 3/32GB,2019-12-19,2019-09-20,2019-12-20,2019-12-29,1.1541,0
1106,NEW0SSA207D-BK01,HANDSET,SAMSUNG,A207D3/32,BLACK,A207D GALAXY A20S 3/32GB,2019-12-23,2019-09-20,2019-12-24,2019-12-30,0.8192,1
1106,NEW0SSA207D-BK01,HANDSET,SAMSUNG,A207D3/32,BLACK,A207D GALAXY A20S 3/32GB,2019-12-26,2019-09-20,2019-12-27,2020-01-05,1.2146,1
1106,NEW0SSA207D-BK01,HANDSET,SAMSUNG,A207D3/32,BLACK,A207D GALAXY A20S 3/32GB,2019-12-30,2019-09-20,2019-12-31,2020-01-06,0.8622,0
1106,NEW0SSA207D-BK01,HANDSET,SAMSUNG,A207D3/32,BLACK,A207D GALAXY A20S 3/32GB,2020-01-02,2019-09-20,2020-01-03,2020-01-12,1.2781,2
1106,NEW0SSA207D-BK01,HANDSET,SAMSUNG,A207D3/32,BLACK,A207D GALAXY A20S 3/32GB,2020-01-09,2019-09-20,2020-01-10,2020-01-19,0.9249999999999999,1
1106,NEW0SSA207D-BK01,HANDSET,SAMSUNG,A207D3/32,BLACK,A207D GALAXY A20S 3/32GB,2020-01-13,2019-09-20,2020-01-14,2020-01-20,0.2981,1
1106,NEW0SSA207D-BK01,HANDSET,SAMSUNG,A207D3/32,BLACK,A207D GALAXY A20S 3/32GB,2020-01-16,2019-09-20,2020-01-17,2020-01-26,0.8876999999999999,1
1106,NEW0SSA207D-BK01,HANDSET,SAMSUNG,A207D3/32,BLACK,A207D GALAXY A20S 3/32GB,2020-01-20,2019-09-20,2020-01-21,2020-01-27,0.6301,1
1106,NEW0SSA207D-GN01,HANDSET,SAMSUNG,A207D3/32,GREEN,A207D GALAXY A20S 3/32GB,2019-12-02,2019-09-20,2019-12-03,2019-12-09,1.2374,2
1106,NEW0SSA207D-GN01,HANDSET,SAMSUNG,A207D3/32,GREEN,A207D GALAXY A20S 3/32GB,2019-12-05,2019-09-20,2019-12-06,2019-12-15,1.8348,3
1106,NEW0SSA207D-GN01,HANDSET,SAMSUNG,A207D3/32,GREEN,A207D GALAXY A20S 3/32GB,2019-12-09,2019-09-20,2019-12-10,2019-12-16,1.3022,3
1106,NEW0SSA207D-GN01,HANDSET,SAMSUNG,A207D3/32,GREEN,A207D GALAXY A20S 3/32GB,2019-12-12,2019-09-20,2019-12-13,2019-12-22,1.7442,3
1106,NEW0SSA207D-GN01,HANDSET,SAMSUNG,A207D3/32,GREEN,A207D GALAXY A20S 3/32GB,2019-12-16,2019-09-20,2019-12-17,2019-12-23,1.2379,1
1106,NEW0SSA207D-GN01,HANDSET,SAMSUNG,A207D3/32,GREEN,A207D GALAXY A20S 3/32GB,2019-12-19,2019-09-20,2019-12-20,2019-12-29,1.587,2
1106,NEW0SSA207D-GN01,HANDSET,SAMSUNG,A207D3/32,GREEN,A207D GALAXY A20S 3/32GB,2019-12-23,2019-09-20,2019-12-24,2019-12-30,1.4414,3
1106,NEW0SSA207D-GN01,HANDSET,SAMSUNG,A207D3/32,GREEN,A207D GALAXY A20S 3/32GB,2019-12-26,2019-09-20,2019-12-27,2020-01-05,2.1372,5
1106,NEW0SSA207D-GN01,HANDSET,SAMSUNG,A207D3/32,GREEN,A207D GALAXY A20S 3/32GB,2019-12-30,2019-09-20,2019-12-31,2020-01-06,1.5170000000000001,3
1106,NEW0SSA207D-GN01,HANDSET,SAMSUNG,A207D3/32,GREEN,A207D GALAXY A20S 3/32GB,2020-01-02,2019-09-20,2020-01-03,2020-01-12,2.2492,4
1106,NEW0SSA207D-GN01,HANDSET,SAMSUNG,A207D3/32,GREEN,A207D GALAXY A20S 3/32GB,2020-01-06,2019-09-20,2020-01-07,2020-01-13,1.5964,2
1106,NEW0SSA207D-GN01,HANDSET,SAMSUNG,A207D3/32,GREEN,A207D GALAXY A20S 3/32GB,2020-01-09,2019-09-20,2020-01-10,2020-01-19,2.1382,1
1106,NEW0SSA207D-GN01,HANDSET,SAMSUNG,A207D3/32,GREEN,A207D GALAXY A20S 3/32GB,2020-01-13,2019-09-20,2020-01-14,2020-01-20,0.8917999999999999,1
